Wall time,Step,Value
1684534104.80387,0,0.0
1684534143.8756971,8000,0.0
1684534385.5769618,88000,3.0
1684534628.9186084,168000,47.5
1684534866.805213,248000,93.0
1684535107.5221934,328000,96.0
1684535350.1295774,408000,95.0
1684535592.3556032,488000,96.0
1684535834.432052,568000,97.0
1684536076.189536,648000,96.5
1684536323.56724,728000,94.0
1684536564.8392825,808000,97.5
1684536808.941519,888000,95.5
1684537050.2416048,968000,97.0
1684537291.8075593,1048000,97.0
1684537534.1591167,1128000,96.0
1684537776.3443525,1208000,97.0
1684538018.9243734,1288000,98.0
1684538260.9301293,1368000,97.5
1684538503.9059415,1448000,98.0
1684538746.023632,1528000,98.0
1684538989.6020925,1608000,97.0
1684539233.0013628,1688000,95.5
1684539475.7537534,1768000,97.5
1684539718.786833,1848000,98.0
1684539962.09466,1928000,94.0
